user_id,date,minutes_used
ddc5dfaa-98e8-438a-b0c8-a84583657760,2023-01-05 10:35:19,25
12fa9dd3-cf93-422e-abcf-b9a2c045e49e,2023-04-12 13:51:07,24
eb4cbb51-1732-4e40-b2b4-3eb79a4eed4f,2023-09-11 20:46:14,5
433126ec-002d-4739-84c6-4af51edace22,2023-05-20 15:16:06,6
7256902f-e266-4f02-999d-86d149eeb3e0,2023-09-27 01:04:16,21
d71bd8d4-51da-40cf-b4ca-6be0bd3ea09a,2023-04-02 18:29:58,9
1718d0a2-08c1-495d-8238-a8672f57c52e,2023-01-25 03:02:26,4
080af770-13c8-405c-8e48-a48b74c24b1e,2023-09-17 08:13:03,26
bb53be3c-9d32-4077-a79e-2e996e194a82,2023-02-15 21:56:07,3
6134f459-0fa1-4883-b1ef-17c97bb3be47,2023-06-30 17:47:44,38
b25f1da0-108f-4910-9493-cd20efff5adb,2023-04-30 03:38:32,14
db284f4b-c650-4b80-94a7-58f8801d12f6,2023-03-04 00:40:07,2
d3c9b23f-d13f-4b80-979a-f613419ec074,2023-06-07 10:45:24,23
e951f78e-b433-49c5-a7b6-a9d91abb8418,2023-09-24 10:40:10,14
35b80c69-af2f-4238-b5d6-f7c5425f4d75,2023-07-15 03:49:48,7
9f868448-40b4-4a24-a96d-a0296e132167,2023-12-25 11:58:17,10
6883c1df-fc6e-4b1e-9f29-7f44f172cbfb,2023-12-14 15:06:28,7
246f60f7-822f-4d2c-98b6-e8c636bd07ac,2023-12-11 18:54:32,6
83723164-b7e4-484b-b0d4-9f16bb135880,2023-10-01 05:37:36,3
56e7f9f7-4c54-496c-84ef-6c38de66df0c,2023-10-26 23:26:19,9
1df8c078-2cd9-45fd-b27f-dfe315c4879d,2023-05-01 18:31:28,5
c376db46-9a8e-4de9-bf22-1209462b5cca,2023-09-26 01:58:21,23
9ad86263-b936-4140-a58c-b8d2f0ba5984,2023-02-15 14:23:38,23
47b7373c-17e5-40bf-bc56-875fe624aa2b,2023-09-06 01:13:15,13
96108242-5958-4bfa-9d54-0a3ee0305a6a,2023-12-22 18:57:14,30
275538f6-6f8f-458f-9b6a-d14c1af3ec94,2023-04-25 13:56:59,36
5c9cdfa3-ca7e-495a-9937-9cab9da6d2e3,2023-05-23 17:45:26,17
1ef9422d-623d-452e-9c20-17e15ef8a00e,2023-08-27 16:43:27,19
fd9e9458-b84b-4598-94e9-bc5eefee0ba1,2023-03-27 18:27:50,6
9347eb75-2aed-4559-a1f1-b16e5de05009,2023-03-27 02:25:35,45
2c3dac39-04fd-40c6-9166-bb8b440bb489,2023-02-21 20:57:04,0
7ea0ed75-63bd-4891-b210-6fd5beb747ed,2023-07-05 16:58:42,8
750ba352-3cfc-470c-852e-3be25da96f37,2023-03-01 11:47:34,25
2e94552f-78e0-4d1f-a67e-7ba7690a5fe6,2023-06-26 16:42:30,1
dd55bcad-f6d9-4e0e-863f-c3a04beb6ade,2023-10-18 09:23:37,4
67495263-d0be-419c-b31b-5b93a01610ab,2023-08-24 05:53:46,17
456ac396-faa6-49d0-8894-18ff57c2751c,2023-05-26 02:26:09,16
