user_id,segment
3c4f7a2f-1274-4d17-8ee0-cda320a03fdc,casual
b8a66df8-0d2b-47cc-b631-0c360e903353,inactive
d3c9b23f-d13f-4b80-979a-f613419ec074,casual
466374db-3957-4d91-af2e-d59caa67b606,casual
c36895e6-d58c-48f3-9e91-cece30bcff71,inactive
b5dada0f-2ce0-4c95-9658-55e06946ec18,casual
fd24b500-fbec-4d1c-b3a4-72030e9d94c6,power_user
204fe2c6-1387-4c99-8c09-e8c34809c9d5,casual
56c04fc4-cbae-4b04-aaf7-13f61d9c0c15,casual
38cc6ce6-1915-4902-a642-6c49bd2164de,casual
fd9e9458-b84b-4598-94e9-bc5eefee0ba1,casual
16129b3a-17d6-4c68-ae5a-0f5d34d95131,power_user
44868a2a-6a6f-46d6-a190-16506c6d7b0f,casual
60d4580d-87fa-48f2-8439-7680f74d342f,inactive
aa3a7fbe-286f-484b-8b30-199dc9c77e37,casual
dd25d0d9-2715-438d-b79e-2a8d41dc82b9,casual
d2bf1471-3bac-435f-9db3-bbe86c8a6670,power_user
31c38812-4342-4b6f-92d0-73eac050bab8,casual
0e65d3c0-fc03-451c-b20d-7e5bb1a144d7,power_user
506c439d-2bfc-4107-ae45-9805469b89dd,casual
4c13cf51-b23f-404c-986e-18494815623e,casual
ccbdbfa1-3660-4db9-8721-86df5507ca1e,inactive
01f4082c-38bc-486d-a31c-9dc2cac83df5,power_user
f6d9f6bb-bc32-49ea-b062-2558ff4cbec4,casual
8a21a644-bab4-43d5-bad3-54056be04ab2,casual
e951f78e-b433-49c5-a7b6-a9d91abb8418,casual
24667fa9-7bd5-43a5-88e2-cf2051221ad3,inactive
5cfffd88-ccbd-4b8a-ad1b-9f4887e1197e,casual
42f949ac-6679-4a17-889f-10e45506ce66,power_user
017cd7c9-e0b3-4c31-85a1-eabefe0f9cef,casual
dad4c52a-3ccc-4ec3-abe8-36bc3a55ed1f,casual
b4e0433e-3b67-4797-98b2-f60c698c4c71,power_user
68a94868-7d29-4615-aab7-5768e216e75e,casual
4ef7d48b-f7c1-4b86-b677-97559b7b1cc5,casual
2fb54012-cecf-425f-9e4b-036d5868e5a1,casual
7483b709-4249-4ee2-8464-168bc49a7e63,power_user
f8bda299-bbc9-49a1-b556-da45fabe509b,casual
f553eb29-03ab-4373-9cee-968c13776f41,casual
0ba037b6-e552-4e35-b978-1e50108dfb92,casual
dedb2759-961f-4883-9421-a9ef026255ff,inactive
d6690f74-dadf-4731-8eb2-7bc58197a8ed,power_user
9b5861ab-d195-4659-a2cf-a8bef912cd1e,inactive
a4f226d0-1d47-4cd2-81a0-8d76ec16be3c,casual
561bd7db-5455-4888-b27c-d93768afda45,inactive
6e1c3d79-14f0-49a2-b452-50a5c40ce6ef,casual
b84e638d-f400-4c81-b447-4d8e0106433c,casual
6b919528-b8bd-4dcc-b410-6847266b73ef,inactive
92008dd6-d9a4-4c24-8af9-e63b91650741,inactive
e3802dc5-0ecf-46d3-bb94-0b42096bfa66,casual
083855a5-33b9-48d2-8560-fd46990fa4cf,power_user
75f44518-b64d-4a95-ba2a-653be44aa9d3,casual
41505749-0e7f-409f-b1de-4254c9f5668d,inactive
246f60f7-822f-4d2c-98b6-e8c636bd07ac,casual
983126df-ad82-405b-a329-4511d92e8324,casual
6134f459-0fa1-4883-b1ef-17c97bb3be47,inactive
d027a030-bab4-442e-8c6b-7d495b18c2f4,inactive
1613ceba-fa57-4798-9bf6-15cc1f5e5013,casual
4521d9fa-545f-4a1f-96cc-b3fc8fac2e47,casual
1a1b6b25-5db6-4c17-95f7-7b7bad2170a7,inactive
9740abdf-5414-4a87-a199-f3f832d2b04e,casual
51b55660-2c12-4a25-b5be-1569ff1bde04,inactive
876ad494-1494-49c6-9a4c-4fa0a0f0021b,casual
f588ab43-cc5f-4692-8152-c05e30ead7df,casual
765fb854-a27c-4b54-a7ba-b54e2f066f88,casual
e19eae08-2ace-4385-8711-e81cd8cdd3ae,casual
a21bcff3-596e-4472-8c93-0a2b19c35f4c,inactive
c12538cb-2aa8-42af-b956-49ff97f78b7b,casual
3a195f09-6083-40c5-aa08-fbe7e70af122,casual
ae6ac1da-206e-42ab-8fe1-f44b79399f1f,casual
842c77e8-e070-488f-a140-8602242e8177,casual
d71bd8d4-51da-40cf-b4ca-6be0bd3ea09a,casual
90f32ea4-de73-4f5a-8791-0db59fb83e82,casual
1620cd5c-9374-408e-8df1-2a8d2ab0b596,casual
e2ad7faf-f7df-417b-815d-078c8373425b,inactive
334156bb-b766-4df3-bf30-a20a1ad01952,inactive
998d374a-f741-49bb-a6d9-9dd6c6e90489,casual
fa37302d-8b04-4cc8-b333-a3579794d795,casual
99634f1c-0ac8-4838-ac10-abaefaa51d62,casual
7685d0c9-30bb-4588-8c49-03fbaceb6a9a,casual
7d5203ab-9b59-43eb-b092-4fbb3a7a3d2f,inactive
053bd943-5d33-48f9-987d-0bd4ba48e610,casual
be6497a1-62d4-41c6-955b-a49f74373ce2,casual
d11653f9-2518-4e29-abd1-11d83c81dafd,casual
e07b0de0-e653-4236-bbc9-837112066e88,casual
2e94552f-78e0-4d1f-a67e-7ba7690a5fe6,power_user
5003e3bb-a661-4fff-afd7-7b1631bf3222,casual
321d09de-d8f1-40e4-b90a-589af76de4bc,power_user
13429b1f-e84c-4629-9f8e-35ffbd8892fc,inactive
d788bbb3-4ece-450f-99d9-11e822002ffe,inactive
937b46f0-d7ad-4e7f-8999-85c086a55c66,inactive
499c0153-1f5d-41ca-9a70-0647a2cf7575,inactive
4aaef96d-bca3-4fb3-bea0-6193b8a56e8b,casual
