user_id,day,logins
user_1,2023-03-26,1
user_1,2023-07-13,1
user_1,2023-12-27,1
user_10,2023-04-05,1
user_10,2023-06-03,1
user_10,2023-06-13,1
user_10,2023-06-14,1
user_10,2023-06-21,1
user_10,2023-06-27,1
user_10,2023-07-12,1
user_10,2023-08-01,1
user_10,2023-09-03,2
user_10,2023-09-15,1
user_10,2023-10-06,1
user_10,2023-10-24,1
user_10,2023-10-25,1
user_10,2023-12-07,1
user_100,2023-05-13,1
user_100,2023-08-05,1
user_100,2023-08-10,1
user_100,2023-08-18,1
user_100,2023-11-01,1
user_100,2023-11-26,1
user_100,2023-12-19,1
user_100,2023-12-22,1
user_100,2024-02-07,1
user_100,2024-03-16,1
user_1000,2025-09-22,1
user_1000,2025-09-27,1
user_1000,2025-11-13,1
user_1000,2025-12-12,1
user_1000,2026-01-16,1
user_1000,2026-03-12,1
user_1000,2026-04-01,1
user_1000,2026-04-12,1
user_1000,2026-06-02,1
user_1000,2026-07-30,1
user_1000,2026-08-23,1
user_1000,2026-08-29,1
user_1000,2026-09-07,1
user_1000,2026-09-10,1
user_101,2023-06-17,1
user_101,2023-09-09,1
user_102,2023-04-25,1
user_102,2023-05-16,1
user_102,2023-06-22,1
user_102,2023-07-23,1
user_102,2023-09-19,1
user_102,2023-10-30,1
user_102,2023-10-31,1
user_102,2023-11-04,1
user_102,2024-01-31,1
user_102,2024-02-11,1
user_102,2024-03-11,1
user_102,2024-03-21,1
user_103,2023-05-07,1
user_103,2023-06-12,1
user_103,2023-06-27,1
user_103,2023-08-06,1
user_103,2023-09-21,1
user_103,2023-11-26,1
user_103,2024-01-14,1
user_103,2024-02-15,1
user_103,2024-02-19,1
user_103,2024-03-20,1
user_103,2024-03-21,1
user_103,2024-03-28,1
user_104,2023-06-28,1
user_104,2023-07-25,1
user_104,2024-02-01,1
user_104,2024-02-03,1
user_104,2024-02-27,1
user_105,2023-05-06,1
user_105,2023-05-31,1
user_105,2023-07-12,1
user_105,2023-07-28,1
user_105,2023-07-30,1
user_105,2023-09-18,1
user_105,2023-09-21,1
user_105,2023-10-09,1
user_105,2023-11-11,1
user_105,2023-11-18,1
user_105,2023-12-07,1
user_105,2024-02-15,1
user_105,2024-03-02,1
user_105,2024-03-08,1
user_105,2024-03-18,1
user_105,2024-03-24,1
user_105,2024-03-26,1
user_106,2023-12-16,1
user_106,2024-01-04,1
user_107,2023-04-22,1
user_107,2023-06-21,1
user_107,2023-08-15,1
user_107,2023-12-17,2
user_107,2024-02-10,1
user_107,2024-04-03,1
user_108,2023-06-12,1
user_108,2023-06-13,1
user_108,2023-07-16,1
user_108,2023-10-17,1
user_108,2024-02-17,1
user_108,2024-03-02,1
user_109,2023-06-04,1
user_109,2023-08-14,1
user_109,2023-10-06,1
user_109,2023-11-16,1
user_109,2023-12-19,1
user_109,2024-01-13,1
user_109,2024-01-20,1
user_109,2024-02-20,1
user_109,2024-03-30,1
user_11,2023-01-11,1
user_11,2023-03-04,1
user_110,2023-06-10,1
user_110,2023-06-22,1
user_110,2023-09-16,1
user_110,2023-11-23,1
user_110,2024-02-07,1
