user_id,churned
user_1,1
user_2,1
user_3,1
user_4,1
user_5,1
user_6,1
user_7,1
user_8,1
user_9,1
user_10,1
user_11,1
user_12,1
user_13,1
user_14,1
user_15,1
user_16,1
user_17,1
user_18,1
user_19,1
user_20,1
user_21,1
user_22,1
user_23,1
user_24,1
user_25,1
user_26,1
user_27,1
user_28,1
user_29,1
user_30,1
user_31,1
user_32,1
user_33,1
user_34,1
user_35,1
user_36,1
user_37,1
user_38,1
user_39,1
user_40,1
user_41,1
user_42,1
user_43,1
user_44,1
user_45,1
user_46,1
user_47,1
user_48,1
user_49,1
user_50,1
user_51,1
user_52,1
user_53,1
user_54,1
user_55,1
user_56,1
user_57,1
user_58,1
user_59,1
user_60,1
user_61,1
user_62,1
user_63,1
user_64,1
user_65,1
user_66,1
user_67,1
user_68,1
user_69,1
user_70,1
user_71,1
user_72,1
user_73,1
user_74,1
user_75,1
user_76,1
user_77,1
user_78,1
user_79,1
user_80,1
user_81,1
user_82,1
user_83,1
user_84,1
user_85,1
user_86,1
user_87,1
user_88,1
user_89,1
user_90,1
user_91,1
user_92,1
user_93,1
user_94,1
user_95,1
user_96,1
user_97,1
user_98,1
user_99,1
user_100,1
user_101,1
user_102,1
user_103,1
user_104,1
user_105,1
user_106,1
user_107,1
user_108,1
user_109,1
user_110,1
user_111,1
user_112,1
user_113,1
user_114,1
user_115,1
user_116,1
user_117,1
user_118,1
user_119,1
user_120,1
user_121,1
user_122,1
user_123,1
user_124,1
user_125,1
user_126,1
user_127,1
user_128,1
user_129,1
user_130,1
user_131,1
user_132,1
user_133,1
user_134,1
user_135,1
user_136,1
user_137,1
user_138,1
user_139,1
user_140,1
user_141,1
user_142,1
user_143,1
user_144,1
user_145,1
user_146,1
user_147,1
user_148,1
user_149,1
user_150,1
user_151,1
user_152,1
user_153,1
user_154,1
user_155,1
user_156,1
user_157,1
user_158,1
user_159,1
user_160,1
user_161,1
user_162,1
user_163,1
user_164,1
user_165,1
user_166,1
user_167,1
user_168,1
user_169,1
user_170,1
user_171,1
user_172,1
user_173,1
user_174,1
user_175,1
user_176,1
user_177,1
user_178,1
user_179,1
user_180,1
user_181,1
user_182,1
user_183,1
user_184,1
user_185,1
user_186,1
user_187,1
user_188,1
user_189,1
user_190,1
user_191,1
user_192,1
user_193,1
user_194,1
user_195,1
user_196,1
user_197,1
user_198,1
user_199,1
user_200,1
user_201,1
user_202,1
user_203,1
user_204,1
user_205,1
user_206,1
user_207,1
user_208,1
user_209,1
user_210,1
user_211,1
