user_id,age,gender,signup_date
3c4f7a2f-1274-4d17-8ee0-cda320a03fdc,56,Male,2023-09-06 07:53:23
b8a66df8-0d2b-47cc-b631-0c360e903353,46,Male,2023-02-13 05:40:50
d3c9b23f-d13f-4b80-979a-f613419ec074,32,Other,2023-01-10 17:07:01
466374db-3957-4d91-af2e-d59caa67b606,60,Other,2023-10-15 23:45:05
c36895e6-d58c-48f3-9e91-cece30bcff71,25,Male,2023-04-17 19:27:32
b5dada0f-2ce0-4c95-9658-55e06946ec18,38,Other,2023-04-06 02:33:27
fd24b500-fbec-4d1c-b3a4-72030e9d94c6,56,Male,2023-03-28 16:28:29
204fe2c6-1387-4c99-8c09-e8c34809c9d5,36,Male,2023-02-24 04:35:15
56c04fc4-cbae-4b04-aaf7-13f61d9c0c15,40,Female,2023-10-14 00:24:33
38cc6ce6-1915-4902-a642-6c49bd2164de,28,Other,2023-02-09 19:19:27
fd9e9458-b84b-4598-94e9-bc5eefee0ba1,28,Male,2023-09-20 19:17:46
16129b3a-17d6-4c68-ae5a-0f5d34d95131,41,Male,2023-10-15 15:31:25
44868a2a-6a6f-46d6-a190-16506c6d7b0f,53,Other,2023-12-13 11:42:58
60d4580d-87fa-48f2-8439-7680f74d342f,57,Female,2023-07-31 19:11:04
aa3a7fbe-286f-484b-8b30-199dc9c77e37,41,Female,2023-02-03 18:19:43
dd25d0d9-2715-438d-b79e-2a8d41dc82b9,20,Male,2023-08-18 07:47:20
d2bf1471-3bac-435f-9db3-bbe86c8a6670,39,Other,2023-06-13 20:35:47
31c38812-4342-4b6f-92d0-73eac050bab8,19,Female,2023-01-13 08:14:09
0e65d3c0-fc03-451c-b20d-7e5bb1a144d7,41,Other,2023-01-12 13:43:48
506c439d-2bfc-4107-ae45-9805469b89dd,61,Other,2023-02-06 09:18:10
4c13cf51-b23f-404c-986e-18494815623e,47,Male,2023-03-26 21:51:13
ccbdbfa1-3660-4db9-8721-86df5507ca1e,55,Female,2023-04-01 08:33:24
01f4082c-38bc-486d-a31c-9dc2cac83df5,19,Male,2023-07-16 06:15:09
f6d9f6bb-bc32-49ea-b062-2558ff4cbec4,38,Female,2023-08-22 19:13:16
8a21a644-bab4-43d5-bad3-54056be04ab2,50,Female,2023-01-11 07:19:59
e951f78e-b433-49c5-a7b6-a9d91abb8418,29,Female,2023-08-06 23:10:59
24667fa9-7bd5-43a5-88e2-cf2051221ad3,39,Female,2023-03-19 05:18:04
5cfffd88-ccbd-4b8a-ad1b-9f4887e1197e,61,Female,2023-10-06 01:47:11
42f949ac-6679-4a17-889f-10e45506ce66,42,Other,2023-09-10 09:21:43
017cd7c9-e0b3-4c31-85a1-eabefe0f9cef,44,Male,2023-09-30 08:49:21
dad4c52a-3ccc-4ec3-abe8-36bc3a55ed1f,59,Other,2023-07-31 15:13:21
b4e0433e-3b67-4797-98b2-f60c698c4c71,45,Female,2023-06-12 22:12:29
68a94868-7d29-4615-aab7-5768e216e75e,33,Male,2023-03-27 14:39:19
4ef7d48b-f7c1-4b86-b677-97559b7b1cc5,32,Female,2023-06-24 10:55:54
2fb54012-cecf-425f-9e4b-036d5868e5a1,64,Male,2023-08-17 20:21:15
7483b709-4249-4ee2-8464-168bc49a7e63,61,Other,2023-04-19 00:55:31
f8bda299-bbc9-49a1-b556-da45fabe509b,20,Male,2023-11-11 08:26:19
f553eb29-03ab-4373-9cee-968c13776f41,54,Male,2023-12-04 14:27:58
0ba037b6-e552-4e35-b978-1e50108dfb92,24,Male,2023-01-03 12:34:22
dedb2759-961f-4883-9421-a9ef026255ff,38,Male,2023-10-22 16:35:50
